1;2_x;3_x;2_y;3_y;2;3
'Cesca;164 W 75th St.;West 70s;164 W 75th St.;West 70s;164 W 75th St.;West 70s
'Ino;21 Bedford St.;West Village;21 Bedford St.;West Village;nan;nan
'Inoteca;98 Rivington St.;Lower East Side;98 Rivington St.;Lower East Side;98 Rivington St.;Lower East Side
'Inoteca;98 Rivington St.;Lower East Side;98 Rivington St.;Lower East Side;323 3rd Ave.;Chelsea
'Wichcraft;11 E 20th St.;Flatiron;11 E 20th St.;Flatiron;nan;nan
'Wichcraft;11 E 20th St.;Flatiron;397 Greenwich St.;Tribeca;nan;nan
'Wichcraft;397 Greenwich St.;Tribeca;11 E 20th St.;Flatiron;nan;nan
'Wichcraft;397 Greenwich St.;Tribeca;397 Greenwich St.;Tribeca;nan;nan
1 Dominick;1 Dominick St.;Soho;1 Dominick St.;Soho;1 Dominick St.;Soho
107 West;811 W 187th St.;Washington Heights;811 W 187th St.;Washington Heights;811 W 187th St.;Washington Heights
11B Express;nan;nan;nan;nan;174 Ave. B;Chelsea
12 Chairs;56 MacDougal St.;Nolita;56 MacDougal St.;Nolita;56 MacDougal St.;Nolita
1492;60 Clinton St.;Lower East Side;60 Clinton St.;Lower East Side;60 Clinton St.;Lower East Side
15 East;15 E. 15th Street;Union Square;15 E. 15th Street;Union Square;15 E. 15th Street;Union Square
16 Handles;nan;nan;nan;nan;153 2nd Ave.;East Village
2 West;2 West St.;Financial District;2 West St.;Financial District;2 West St.;Financial District
202 Cafe;Chelsea Mkt | 75 Ninth Ave.;Chelsea;Chelsea Mkt | 75 Ninth Ave.;Chelsea;Chelsea Mkt | 75 Ninth Ave.;Chelsea
21 Club;21 W 52nd St.;West 50s;21 W 52nd St.;West 50s;21 W 52nd St.;West 50s
213 Grand Street Gourmet;213 Grand St.;Chinatown;213 Grand St.;Chinatown;213 Grand St.;Chinatown
24 Prince;24 Prince St.;Noho;24 Prince St.;Noho;24 Prince St.;Noho
26 Seats;168 Avenue B;East Village;168 Avenue B;East Village;168 Avenue B;East Village
41 Greenwich Avenue;41 Greenwich Avenue;West Village;41 Greenwich Avenue;West Village;41 Greenwich Avenue;West Village
44 & X Hell's Kitchen;622 10th Ave.;West 40s;622 10th Ave.;West 40s;622 10th Ave.;West 40s
44 Southwest;621 9th Ave.;West 40s;621 9th Ave.;West 40s;621 9th Ave.;West 40s
5 Napkin Burger;630 Ninth Avenue;West 40s;630 Ninth Avenue;West 40s;630 Ninth Avenue;West 40s
5 Ninth;5 Ninth Ave.;Meatpacking District;5 Ninth Ave.;Meatpacking District;5 9th Ave.;Meatpacking District
7A Cafe;nan;nan;nan;nan;109 Avenue A;East Village
88 Orchard;nan;nan;nan;nan;88 Orchard St.;East Village
88 Palace;nan;nan;nan;nan;88 E Broadway;East Village
99 Miles to Philly;94 Third Ave.;East Village;94 Third Ave.;East Village;94 Third Ave.;East Village
A;947 Columbus Ave.;West 100s;947 Columbus Ave.;West 100s;947 Columbus Ave.;West 100s
A & C Kitchen;nan;nan;nan;nan;136 Avenue C;East Village
A Casa Fox;173 Orchard St.;Lower East Side;173 Orchard St.;Lower East Side;173 Orchard St.;Lower East Side
A La Turka;1417 Second Ave.;East 70s;1417 Second Ave.;East 70s;1417 Second Ave.;East 70s
A Salt and Battery;112 Greenwich Ave.;West Village;112 Greenwich Ave.;West Village;112 Greenwich Ave.;West Village
A Voce;41 Madison Ave.;Flatiron;41 Madison Ave.;Flatiron;41 Madison Ave.;Flatiron
A-1 Pizza Shop;nan;nan;nan;nan;505 Grand St.;East Village
A.O.C.;314 Bleecker St.;West Village;314 Bleecker St.;West Village;314 Bleecker St.;West Village
AJ Maxwell's Steakhouse;57 W. 48th St.;West 40s;57 W. 48th St.;West 40s;57 W. 48th St.;West 40s
AOC;314 Bleecker St.;West Village;314 Bleecker St.;West Village;nan;nan
AQ Café, Scandinavia House;58 Park Ave.;Murray Hill;58 Park Ave.;Murray Hill;58 Park Ave.;Murray Hill
Abboccato;136 W 55th St.;West 50s;136 W 55th St.;West 50s;136 W 55th St.;West 50s
Abigael's on Broadway;1407 Broadway;Murray Hill;1407 Broadway;Murray Hill;1407 Broadway;Murray Hill
Abitino's;947 First Ave.;East 50s;947 First Ave.;East 50s;947 First Ave.;East 50s
Above;234 W. 42nd St.;West 40s;234 W. 42nd St.;West 40s;234 W. 42nd St.;West 40s
Abraco;nan;nan;nan;nan;86 E 7th St.;East Village
Absinthe Wine Bar;nan;nan;nan;nan;111 1st Ave.;East Village
Aburiya Kinnosuke;213 E 45th St.;East 40s;213 E 45th St.;East 40s;213 E 45th St.;East 40s
Acapella;1 Hudson St.;Little Italy;1 Hudson St.;Little Italy;1 Hudson St.;Little Italy
Accademia di Vino;1081 3rd Ave.;East 60s;1081 3rd Ave.;East 60s;1081 3rd Ave.;East 60s
Acme Bar & Grill;9 Great Jones;Nolita;9 Great Jones;Nolita;9 Great Jones;Nolita
Acme Underground;9 Great Jones;Greenwich Village;9 Great Jones;Greenwich Village;nan;nan
Acqua;718 Amsterdam Ave.;West 90s;718 Amsterdam Ave.;West 90s;718 Amsterdam Ave.;West 90s
Acqua at Peck Slip;21 Peck St.;South Street Seaport;21 Peck St.;South Street Seaport;21 Peck St.;South Street Seaport
Adriatic Pizzeria & Restaurant;321 First Ave.;East Village;321 First Ave.;East Village;321 First Ave.;East Village
Adrienne's Pizzabar;54 Stone;Financial District;54 Stone;Financial District;54 Stone;Financial District
Afghan Kebab House;764 Ninth Ave.;West 50s;764 Ninth Ave.;West 50s;764 Ninth Ave.;West 50s
Afghan Kebab House;1345 Second Ave.;East 70s;1345 Second Ave.;East 70s;1345 Second Ave.;East 70s
Afghan Kebab House;1345 Second Ave.;East 70s;1345 Second Ave.;East 70s;764 Ninth Ave.;West 50s
Afghan Kebab House;1345 Second Ave.;East 70s;764 Ninth Ave.;West 50s;1345 Second Ave.;East 70s
Afghan Kebab House;1345 Second Ave.;East 70s;764 Ninth Ave.;West 50s;764 Ninth Ave.;West 50s
Afghan Kebab House;764 Ninth Ave.;West 50s;1345 Second Ave.;East 70s;1345 Second Ave.;East 70s
Afghan Kebab House;764 Ninth Ave.;West 50s;1345 Second Ave.;East 70s;764 Ninth Ave.;West 50s
Afghan Kebab House;764 Ninth Ave.;West 50s;764 Ninth Ave.;West 50s;1345 Second Ave.;East 70s
Africa Kine;256 W 116th St.;Harlem;256 W 116th St.;Harlem;256 W 116th St.;Harlem
Against the Grain;nan;nan;nan;nan;620 E 6th St.;East Village
Agave;140 Seventh Ave. S;West Village;140 Seventh Ave. S;West Village;140 7th Ave.;West Village
Agozar Restaurant & Lounge;324 Bowery;Greenwich Village;324 Bowery;Greenwich Village;nan;nan
Agozar!;nan;nan;nan;nan;324 Bowery;Greenwich Village
Aja;432 Sixth Ave.;Greenwich Village;432 Sixth Ave.;Greenwich Village;432 Sixth Ave.;Greenwich Village
Aja Asian Bistro & Lounge;1068 1st Ave.;East 50s;1068 1st Ave.;East 50s;1068 1st Ave.;East 50s
Aji Sushi;519 3rd Avenue;Murray Hill;519 3rd Avenue;Murray Hill;519 3rd Avenue;Murray Hill
Akdeniz;19 W 46th St.;West 40s;19 W 46th St.;West 40s;19 W 46th St.;West 40s
Aki Sushi;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s
Aki Sushi;1425 York Ave.;East 70s;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park
Aki Sushi;1425 York Ave.;East 70s;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s
Aki Sushi;1425 York Ave.;East 70s;366 W 52nd St.;West 50s;1425 York Ave.;East 70s
Aki Sushi;1425 York Ave.;East 70s;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park
Aki Sushi;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s
Aki Sushi;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park
Aki Sushi;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s;1425 York Ave.;East 70s
Aki Sushi;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s
Aki Sushi;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park
Aki Sushi;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s;366 W 52nd St.;West 50s
Aki Sushi;1425 York Ave.;East 70s;1425 York Ave.;East 70s;366 W 52nd St.;West 50s
Aki Sushi;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park
Aki Sushi;1425 York Ave.;East 70s;1425 York Ave.;East 70s;1425 York Ave.;East 70s
Aki Sushi;366 W 52nd St.;West 50s;1425 York Ave.;East 70s;366 W 52nd St.;West 50s
Aki Sushi;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park
Aki Sushi;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park;1425 York Ave.;East 70s
Aki Sushi;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s;1425 York Ave.;East 70s
Aki Sushi;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s
Aki Sushi;366 W 52nd St.;West 50s;1425 York Ave.;East 70s;1425 York Ave.;East 70s
Aki Sushi;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s
Aki Sushi;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park;366 W 52nd St.;West 50s
Aki Sushi;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park
Aki Sushi;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s
Aki Sushi;366 W 52nd St.;West 50s;366 W 52nd St.;West 50s;1425 York Ave.;East 70s
Aki Sushi;366 W 52nd St.;West 50s;121 E 27th St.;Gramercy Park;121 E 27th St.;Gramercy Park
Aki Sushi;366 W 52nd St.;West 50s;1425 York Ave.;East 70s;121 E 27th St.;Gramercy Park
Akina Sushi;nan;nan;nan;nan;424 E 14th St.;East Village
Al Baraka;1613 Second Ave.;East 80s;1613 Second Ave.;East 80s;1613 Second Ave.;East 80s
Al Bustan;827 Third Ave.;East 50s;827 Third Ave.;East 50s;827 Third Ave.;East 50s
Al Diwan;nan;nan;nan;nan;210 Avenue A.;East Village
Albert's Mofongo House;4762 Broadway;Inwood;4762 Broadway;Inwood;4762 Broadway;Inwood
Alcala;342 E 46th St.;East 40s;342 E 46th St.;East 40s;342 E 46th St.;East 40s
Alexandra;455 Hudson St.;West Village;455 Hudson St.;West Village;455 Hudson St.;West Village
Alfama;551 Hudson;West Village;551 Hudson;West Village;551 Hudson;West Village
Alfredo's of Rome;4 W 49th St.;West 40s;4 W 49th St.;West 40s;4 W 49th St.;West 40s
Ali Baba;212 E 34th St.;Murray Hill;212 E 34th St.;Murray Hill;212 E 34th St.;Murray Hill
Alias;76 Clinton St.;Lower East Side;76 Clinton St.;Lower East Side;76 Clinton St.;Lower East Side
Alibaba;515 Amsterdam Ave.;West 80s;515 Amsterdam Ave.;West 80s;515 Amsterdam Ave.;West 80s
Alice's Tea Cup;102 W. 73rd St.;West 70s;102 W. 73rd St.;West 70s;102 W. 73rd St.;West 70s
Alidoro;105 Sullivan St.;Greenwich Village;105 Sullivan St.;Greenwich Village;105 Sullivan St.;Greenwich Village
Allegretti;46 W 22nd St.;Chelsea;46 W 22nd St.;Chelsea;46 W 22nd St.;Chelsea
Alloro Restaurant;307 East 77th St.;East 80s;307 East 77th St.;East 80s;307 East 77th St.;East 80s
Aloe;nan;nan;nan;nan;406 E 9th St.;East Village
Alto;520 Madison Ave.;East 50s;520 Madison Ave.;East 50s;520 Madison Ave.;East 50s
Amarok Bar & Grill;nan;nan;nan;nan;32 Cliff St.;Financial District
Amarone;686 9th Ave.;West 40s;686 9th Ave.;West 40s;686 9th Ave.;West 40s
Amaya;nan;nan;nan;nan;234 E 4th St.;East Village
Amazing 66;66 Mott St.;Chinatown;66 Mott St.;Chinatown;66 Mott St.;Chinatown
Ambassador Grill & Lounge;44 First Avenue;East 40s;44 First Avenue;East 40s;44 First Avenue;East 40s
Amber;221 Columbus Ave.;West 70s;1406 Third Ave.;East 80s;221 Columbus Ave.;West 70s
Amber;221 Columbus Ave.;West 70s;1406 Third Ave.;East 80s;1406 Third Ave.;East 80s
Amber;1406 Third Ave.;East 80s;221 Columbus Ave.;West 70s;221 Columbus Ave.;West 70s
Amber;1406 Third Ave.;East 80s;221 Columbus Ave.;West 70s;1406 Third Ave.;East 80s
Amber;221 Columbus Ave.;West 70s;221 Columbus Ave.;West 70s;221 Columbus Ave.;West 70s
Amber;1406 Third Ave.;East 80s;1406 Third Ave.;East 80s;221 Columbus Ave.;West 70s
Amber;1406 Third Ave.;East 80s;1406 Third Ave.;East 80s;1406 Third Ave.;East 80s
Amber;221 Columbus Ave.;West 70s;221 Columbus Ave.;West 70s;1406 Third Ave.;East 80s
Ambrosia;nan;nan;nan;nan;273 1st Ave.;East Village
American East Fuzhou Restaurant;54 E Broadway;Chinatown;54 E Broadway;Chinatown;54 E Broadway;Chinatown
American Girl Place;609 5th Ave.;East 40s;609 5th Ave.;East 40s;609 5th Ave.;East 40s
American Grill;117 2nd Ave.;East Village;117 2nd Ave.;East Village;117 2nd Ave.;East Village
Angelica Kitchen;300 E 12th St.;East Village;300 E 12th St.;East Village;300 E 12th St.;East Village
