;restaurant;in;address1;address2;address3;neighborhood;phone;type;addressGoogle
0;#1 Farmer’s Market;;1458 Second Ave;at 76th St;;Upper East Side;(212-396-2626);Food or Beverage Shop;1458 2nd Ave
1;1 2 3 Burger Shot Beer;;738Tenth Ave;between 50th and 51st;;Midtown West;(212-315-0123);American;738Tenth Ave
2;1 Dominick;;1 Dominick St;between Sixth Ave and Varick St;;Soho;(212-647-0202);Italian;1 Dominick St
3;10 Downing Food & Wine;;10 Downing St;at Sixth Ave;;West Village;(212-255-0300);American Creative;10 Downing St
4;1492 Food;;60 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(646-654-1114);Spanish;60 Clinton St
5;15 East;;15 E 15th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-647-0015);Japanese;E 15th St
6;2 West;Ritz-Carlton Battery Park Hotel;;2 West St;at Battery Pl;Financial District;(917-790-2525);Steakhouses;
7;202 at Chelsea Market;;75 Ninth Ave;at 16th St;;Chelsea;(646-638-0115);British & Irish;75 9th Ave
8;212 Restaurant & Bar;;133 E 65th St;between Park and Lexington Aves;;Upper East Side;(212-249-6565);American Creative;133 E 65th St
9;24 Prince;;24 Prince St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-226-8624);American;24 Prince St
10;26 Seats;;168 Ave B;between 10th and 11th Sts;;East Village;(212-677-4787);French;168 Avenue B
11;2nd Ave Deli;;162 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-698-9000);American;162 E 33rd St
12;33 Ristorante;;196 Eighth Ave;at 20th St;;Chelsea;(212-242-4551);Italian;196 8th Ave
13;44 & X Hell’s Kitchen;;622 Tenth Ave;at 44th St;;Midtown West;(212-977-1170);American;622 10th Ave
14;44 1/2;;626 Tenth Ave;between 44th and 45th Sts;;Midtown West;(212-399-4450);Cafés & diners;626 10th Ave
15;44 Southwest;;621 Ninth Ave;at 44th St;;Midtown West;(212-315-4582);Italian;621 9th Ave
16;4fusion (CLOSED);;132 W 58th St;between Sixth and Seventh Aves;;Midtown West;(212-247-8887);Eclectic;132 W 58th St
17;5 Napkin Burger;;630 Ninth Ave;at 45th St;;Midtown West;(212-757-2277);American;630 9th Ave
18;5 Ninth;;5 Ninth Ave;between Gansevoort and Little W 12th St;;Meatpacking District;(212-929-9460);Eclectic;5 9th Ave
19;508;;508 Greenwich St;between Canal and Spring Sts;;Soho;(212-219-2444);Mediterranean;508 Greenwich St
20;540 Park;Loews Regency Hotel;;540 Park Ave;at 61st St;Midtown East;(212-339-4050);American;
21;66 (CLOSED);;241 Church St;between Leonard and Worth Sts;;Tribeca;(212-925-0202);Chinese;241 Church St
22;71 Clinton Fresh Food (CLOSED);;71 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-614-6960);American Creative;71 Clinton St
23;7A;;109 Ave A;at 7th St;;East Village;(212-673-6583);American;109 Avenue A
24;809 Sangria Bar and Grill;;112 Dyckman St;between Nagle and Sherman Aves;;Inwood;(212-304-3800);Caribbean: Dominican;112 Dyckman St
25;88 Orchard;;88 Orchard St;between Broome and Grand Sts;;Lower East Side;(212-228-8880);Cafés;88 Orchard St
26;92YTribeca Cafe;;200 Hudson St;at Canal St;;Tribeca;(212-601-1000);Kosher;200 Hudson St
27;99 Miles to Philly;;94 Third Ave;between 12th and 13th Sts;;East Village;(212-253-2700);American;94 3rd Ave
28;99? Fresh Pizza;;569 Ninth Ave;at 41st St;;Midtown West;(212-268-1461);Italian;569 9th Ave
29;99c Fresh Pizza;;569 Ninth Ave;at 41st St;;Midtown West;(212-268-1461);Italian;569 9th Ave
30;?sküdar;;1405 Second Ave;between 73rd and 74th Sts;;Upper East Side;(212-988-2641);Turkish;1405 2nd Ave
31;A Café and Wine Room;;973 Columbus Ave;between 107th and 108th Sts;;Upper West Side;(212-222-2033);Eclectic;973 Columbus Ave
32;A Salt & Battery;;112 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-691-2713);British & Irish;112 Greenwich Ave
33;A Salt & Battery (CLOSED);;80 Second Ave;between 4th and 5th Sts;;East Village;(212-254-6610);British & Irish;80 2nd Ave
34;A Voce;41 Madison Ave;;entrance on 26th St;between Madison Ave and Park Ave South;Gramercy/Flatiron;(212-545-8555);Italian;
35;A.O.C.;;314 Bleecker St;at Grove St;;West Village;(212-675-9463);French;314 Bleecker St
36;A.O.C. Bedford (CLOSED);;14 Bedford St;between Sixth Ave and Downing St;;West Village;(212-414-4764);Spanish;14 Bedford St
37;AQ Café;Scandinavia House;;58 Park Ave;between 37th and 38th Sts;Midtown East;(212-879-9779);Seafood;
38;AQ Kafé;;1800 Broadway;between 58th and 59th Sts;;Midtown West;(718-784-7364);Scandinavian;1800 Broadway
39;Abboccato;;138 W 55th St;between Sixth and Seventh Aves;;Midtown West;(212-265-4000);Italian;138 W 55th St
40;Abraço;;86 E 7th St;between First and Second Aves;;East Village;(212-388-9731);Cafés & diners;86 E 7th St
